id;content;date_added;in_circulation
1;Zimbabwe parse Customer;2019-07-04T06:41:57;true
2;Accounts navigating Ergonomic;2019-07-04T09:55:46;false
3;User-friendly;2019-07-04T14:08:56;true
4;Synergized;2019-07-04T04:37:19;true
5;Fantastic Concrete Computer Baby;2019-07-04T08:47:12;true
6;transmit Gabon;2019-07-04T00:17:25;true
7;Planner Refined;2019-07-04T01:44:21;false
8;Granite Grocery;2019-07-04T02:37:10;true
9;payment digital;2019-07-03T23:04:02;false
10;Industrial seamless;2019-07-04T06:35:05;true
